system,system_name,id,document,final_score,table_score,title_layout_score,text_score,chart_score,gt_chart_count,table_weight,title_layout_weight,text_weight,table_structure_score,table_content_score,matched_table_count,missing_table_count,extra_table_count,primary_selected_pair_count,semi_semantic_selected_pair_count,prediction,normalization_adapter,normalization_manifest,report
mineru-3.4.4-vlm,MinerU 3.4.4 — VLM backend (MinerU2.5-Pro-2605-1.2B),001,食品饮料行业深度报告,92.5586,87.0272,89.0893,94.3843,94.6844,62,0.10421804844115601,0.2,0.695781951558844,84.7479,90.4462,2,0,0,2,0,normalized_predictions/mineru-3.4.4-vlm/001.md,normalize_mineru_vlm.py,normalized_predictions/mineru-3.4.4-vlm/normalization_manifest.json,scores/without_charts/mineru-3.4.4-vlm/documents/001_report.md
mineru-3.4.4-vlm,MinerU 3.4.4 — VLM backend (MinerU2.5-Pro-2605-1.2B),002,传媒行业深度报告,93.1827,97.9224,85.3758,94.8041,57.1902,17,0.08474885844748858,0.2,0.7152511415525115,100.0,94.8061,6,0,0,6,0,normalized_predictions/mineru-3.4.4-vlm/002.md,normalize_mineru_vlm.py,normalized_predictions/mineru-3.4.4-vlm/normalization_manifest.json,scores/without_charts/mineru-3.4.4-vlm/documents/002_report.md
mineru-3.4.4-vlm,MinerU 3.4.4 — VLM backend (MinerU2.5-Pro-2605-1.2B),003,创新药产业链深度报告,95.8678,98.1856,87.7845,97.7772,92.6915,44,0.2181661458894516,0.2,0.5818338541105484,99.2211,96.6324,8,0,1,8,0,normalized_predictions/mineru-3.4.4-vlm/003.md,normalize_mineru_vlm.py,normalized_predictions/mineru-3.4.4-vlm/normalization_manifest.json,scores/without_charts/mineru-3.4.4-vlm/documents/003_report.md
mineru-3.4.4-vlm,MinerU 3.4.4 — VLM backend (MinerU2.5-Pro-2605-1.2B),004,创新药国际化深度报告,96.5889,99.3348,90.6794,97.0688,62.6114,12,0.35215749112967837,0.2,0.44784250887032173,99.6833,98.8122,8,0,0,8,0,normalized_predictions/mineru-3.4.4-vlm/004.md,normalize_mineru_vlm.py,normalized_predictions/mineru-3.4.4-vlm/normalization_manifest.json,scores/without_charts/mineru-3.4.4-vlm/documents/004_report.md
mineru-3.4.4-vlm,MinerU 3.4.4 — VLM backend (MinerU2.5-Pro-2605-1.2B),005,中国平安,90.3098,96.5892,71.676,94.1195,57.5681,21,0.2749194198227236,0.2,0.5250805801772763,97.3215,95.4906,191,0,1,166,25,normalized_predictions/mineru-3.4.4-vlm/005.md,normalize_mineru_vlm.py,normalized_predictions/mineru-3.4.4-vlm/normalization_manifest.json,scores/without_charts/mineru-3.4.4-vlm/documents/005_report.md
mineru-3.4.4-vlm,MinerU 3.4.4 — VLM backend (MinerU2.5-Pro-2605-1.2B),006,阿里巴巴,94.1052,93.7585,82.4568,98.087,100.0,0,0.19769362511893437,0.2,0.6023063748810658,94.8248,92.1591,50,1,0,46,4,normalized_predictions/mineru-3.4.4-vlm/006.md,normalize_mineru_vlm.py,normalized_predictions/mineru-3.4.4-vlm/normalization_manifest.json,scores/without_charts/mineru-3.4.4-vlm/documents/006_report.md
mineru-3.4.4-vlm,MinerU 3.4.4 — VLM backend (MinerU2.5-Pro-2605-1.2B),007,美团,87.7638,93.9395,67.6369,92.4849,5.8502,3,0.17084340526523978,0.2,0.6291565947347603,94.6549,92.8662,169,0,7,124,45,normalized_predictions/mineru-3.4.4-vlm/007.md,normalize_mineru_vlm.py,normalized_predictions/mineru-3.4.4-vlm/normalization_manifest.json,scores/without_charts/mineru-3.4.4-vlm/documents/007_report.md
mineru-3.4.4-vlm,MinerU 3.4.4 — VLM backend (MinerU2.5-Pro-2605-1.2B),008,先锋新材,92.3984,89.6602,81.0855,99.2713,100.0,0,0.3366624259969748,0.2,0.4633375740030252,90.7194,88.0715,218,0,11,202,16,normalized_predictions/mineru-3.4.4-vlm/008.md,normalize_mineru_vlm.py,normalized_predictions/mineru-3.4.4-vlm/normalization_manifest.json,scores/without_charts/mineru-3.4.4-vlm/documents/008_report.md
mineru-3.4.4-vlm,MinerU 3.4.4 — VLM backend (MinerU2.5-Pro-2605-1.2B),009,紫天科技,97.5782,99.2586,89.4415,99.8423,0.0,1,0.3150954955342269,0.2,0.4849045044657732,99.1696,99.3921,182,0,0,182,0,normalized_predictions/mineru-3.4.4-vlm/009.md,normalize_mineru_vlm.py,normalized_predictions/mineru-3.4.4-vlm/normalization_manifest.json,scores/without_charts/mineru-3.4.4-vlm/documents/009_report.md
mineru-3.4.4-vlm,MinerU 3.4.4 — VLM backend (MinerU2.5-Pro-2605-1.2B),010,万和电气,90.975,79.9118,91.5416,99.7181,0.0,1,0.3588679278440194,0.2,0.44113207215598066,81.3315,77.7822,215,0,21,215,0,normalized_predictions/mineru-3.4.4-vlm/010.md,normalize_mineru_vlm.py,normalized_predictions/mineru-3.4.4-vlm/normalization_manifest.json,scores/without_charts/mineru-3.4.4-vlm/documents/010_report.md
